GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sprinprojet,com.example.sprinprojet.contollers,ReservationController,86,0,4,0,20,0,11,0,9,0
sprinprojet,com.example.sprinprojet.contollers,EtudiantController,51,0,0,0,13,0,8,0,8,0
sprinprojet,com.example.sprinprojet.contollers,UserController,285,0,14,0,61,0,19,0,12,0
sprinprojet,com.example.sprinprojet.contollers,FoyerController,74,0,0,0,17,0,9,0,9,0
sprinprojet,com.example.sprinprojet.contollers,BlocController,83,0,2,0,21,0,10,0,9,0
sprinprojet,com.example.sprinprojet.contollers,ChambreController,166,0,6,0,40,0,15,0,12,0
sprinprojet,com.example.sprinprojet.contollers,UniversiteController,86,0,2,0,20,0,11,0,10,0
sprinprojet,com.example.sprinprojet.configuration,OpenAPIConfig,39,0,0,0,7,0,2,0,2,0
sprinprojet,com.example.sprinprojet.entity,Bloc,67,0,0,0,10,0,15,0,15,0
sprinprojet,com.example.sprinprojet.entity,TypeChambre,21,0,0,0,4,0,1,0,1,0
sprinprojet,com.example.sprinprojet.entity,UserRole,21,0,0,0,4,0,1,0,1,0
sprinprojet,com.example.sprinprojet.entity,Etudiant,86,0,0,0,11,0,18,0,18,0
sprinprojet,com.example.sprinprojet.entity,Reservation,83,0,0,0,11,0,17,0,17,0
sprinprojet,com.example.sprinprojet.entity,Chambre,56,0,0,0,8,0,12,0,12,0
sprinprojet,com.example.sprinprojet.entity,User,66,0,0,0,9,0,14,0,14,0
sprinprojet,com.example.sprinprojet.entity,Universite,28,19,0,0,6,2,6,5,6,5
sprinprojet,com.example.sprinprojet.entity,Foyer,28,46,0,0,1,8,2,12,2,12
sprinprojet,com.example.sprinprojet.entity,Status,21,0,0,0,4,0,1,0,1,0
sprinprojet,com.example.sprinprojet.services,BlocServiceImp,167,0,8,0,38,0,16,0,12,0
sprinprojet,com.example.sprinprojet.services,ChambreServiceImp,230,0,6,0,50,0,17,0,14,0
sprinprojet,com.example.sprinprojet.services,UniversiteServiceImpl,162,20,6,0,36,3,12,3,9,3
sprinprojet,com.example.sprinprojet.services,ReservationServiceImp,193,0,16,0,48,0,20,0,12,0
sprinprojet,com.example.sprinprojet.services,EmailService,24,0,0,0,8,0,2,0,2,0
sprinprojet,com.example.sprinprojet.services,UserServiceImp,246,0,8,0,52,0,16,0,12,0
sprinprojet,com.example.sprinprojet.services,FoyerServiceImp,183,0,4,0,38,0,12,0,10,0
sprinprojet,com.example.sprinprojet.services,EtudiantServiceImp,136,0,2,0,30,0,11,0,10,0
sprinprojet,com.example.sprinprojet,SprinprojetApplication,16,0,0,0,5,0,4,0,4,0
sprinprojet,com.example.sprinprojet,SprinprojetApplication.CorsConfig,32,0,0,0,8,0,2,0,2,0
